fruta,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,41,39,37,35,33,31,29,27,25,23,21,19,17,16,14,12,10,8,6,4,2
2,170,136,102,68,34,,,,,,,,,,,,,,,,
3,16,11,5,,,,,,,,,,,,,,,,,,
4,89,67,44,22,,,,,,,,,,,,,,,,,
5,174,87,,,,,,,,,,,,,,,,,,,
6,22,21,20,19,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
7,18,17,16,15,14,13,13,12,11,10,9,8,8,7,6,5,4,3,3,2,1
8,53,35,18,,,,,,,,,,,,,,,,,,
9,102,85,68,51,34,17,,,,,,,,,,,,,,,
10,58,38,19,,,,,,,,,,,,,,,,,,
11,30,28,26,24,22,20,18,16,14,12,10,8,6,4,2,,,,,,
12,101,76,51,25,,,,,,,,,,,,,,,,,
